Symbol,Interval,Total Trades,Profitable Trades,Win Rate (%),Total Profit ($),Total Profit (%)
ZEC-USD,Quarterly,0,0,0.0,0.0,0.0
SOL-USD,Weekly,100,93,93.0,323.00686675429375,4.309625688087398
SOL-USD,Monthly,0,0,0.0,0.0,0.0
SOL-USD,Quarterly,0,0,0.0,0.0,0.0
USDS-USD,Weekly,38,31,81.57894736842105,1.3529640835523615,3.6400412181038537
USDS-USD,Monthly,13,10,76.92307692307693,0.43948350369930267,3.387118234737703
USDS-USD,Quarterly,3,3,100.0,0.12189799249172206,4.0767454792148365
USDE-USD,Weekly,13,12,92.3076923076923,0.39066963768462337,4.227877240799275
USDE-USD,Monthly,0,0,0.0,0.0,0.0
USDE-USD,Quarterly,0,0,0.0,0.0,0.0
OMG-USD,Weekly,100,89,89.0,9.294758268222218,4.622290476080478
OMG-USD,Monthly,0,0,0.0,0.0,0.0
OMG-USD,Quarterly,5,3,60.0,0.09159450143575684,3.6007892489487068
ZRX-USD,Weekly,100,92,92.0,1.981368110328914,4.417540187335627
ZRX-USD,Monthly,0,0,0.0,0.0,0.0
ZRX-USD,Quarterly,9,7,77.77777777777779,0.08471223071217548,3.034303470881213
REP-USD,Weekly,91,80,87.91208791208791,38.4796680039168,4.401750600440685
REP-USD,Monthly,0,0,0.0,0.0,0.0
REP-USD,Quarterly,4,4,100.0,0.1372476011514665,5.000000000000005
UNI-USD,Weekly,95,81,85.26315789473684,0.001030599999794505,4.170949873107984
UNI-USD,Monthly,12,9,75.0,4.114000024856074e-05,2.966113971210062
UNI-USD,Quarterly,10,8,80.0,5.391999955463692e-05,2.6574666875088737
DCR-USD,Weekly,94,83,88.29787234042553,149.6605370140077,4.488630283985433
DCR-USD,Monthly,16,13,81.25,7.863130836486821,3.5650687141418356
DCR-USD,Quarterly,8,8,100.0,6.7218478202819885,5.000000000000004
WAVES-USD,Weekly,101,88,87.12871287128714,23.163636730909374,4.6930556598304
WAVES-USD,Monthly,0,0,0.0,0.0,0.0
WAVES-USD,Quarterly,5,4,80.0,0.023452866077423362,0.42072448683539143
AAVE-USD,Weekly,86,80,93.02325581395348,571.1666215896611,4.5007632891041105
AAVE-USD,Monthly,0,0,0.0,0.0,0.0
AAVE-USD,Quarterly,10,7,70.0,-30.06497825622553,-1.6748990448420473
TON-USD,Weekly,52,38,73.07692307692307,2.6275945075787637,3.041073053534619
TON-USD,Monthly,6,4,66.66666666666666,0.12032591052353396,4.913736549201863
TON-USD,Quarterly,6,4,66.66666666666666,0.19178001783788234,3.0020170604563803
ICX-USD,Weekly,102,87,85.29411764705883,1.905923497378828,4.111159291248131
ICX-USD,Monthly,7,4,57.14285714285714,0.0174892598390579,2.1605041653444412
ICX-USD,Quarterly,6,3,50.0,0.01395949974656105,1.2720532634849249
TAO-USD,Weekly,0,0,0.0,0.0,0.0
TAO-USD,Monthly,0,0,0.0,0.0,0.0
TAO-USD,Quarterly,0,0,0.0,0.0,0.0
THETA-USD,Weekly,99,87,87.87878787878788,7.188335798680788,4.59072525524946
THETA-USD,Monthly,0,0,0.0,0.0,0.0
THETA-USD,Quarterly,9,8,88.88888888888889,0.3670947626233102,3.515479109601386
USDC-USD,Weekly,1,1,100.0,0.048851299285888716,5.000000000000004
USDC-USD,Monthly,0,0,0.0,0.0,0.0
USDC-USD,Quarterly,0,0,0.0,0.0,0.0
LINK-USD,Weekly,106,96,90.56603773584906,58.51349390506753,4.059826016172888
LINK-USD,Monthly,0,0,0.0,0.0,0.0
LINK-USD,Quarterly,0,0,0.0,0.0,0.0
ATOM-USD,Weekly,95,85,89.47368421052632,42.98513280272489,4.627346016484099
ATOM-USD,Monthly,0,0,0.0,0.0,0.0
ATOM-USD,Quarterly,9,8,88.88888888888889,2.7098591923713697,4.311200140085888
DOT-USD,Weekly,89,78,87.64044943820225,40.52903137207033,4.488530864572914
DOT-USD,Monthly,1,0,0.0,-0.05764637947082507,-1.9999999999999956
DOT-USD,Quarterly,6,4,66.66666666666666,-1.084360141754149,-3.7511037651352734
AVAX-USD,Weekly,81,76,93.82716049382715,102.84050444126139,4.547888979306187
AVAX-USD,Monthly,0,0,0.0,0.0,0.0
AVAX-USD,Quarterly,0,0,0.0,0.0,0.0
USDT-USD,Weekly,0,0,0.0,0.0,0.0
USDT-USD,Monthly,0,0,0.0,0.0,0.0
USDT-USD,Quarterly,0,0,0.0,0.0,0.0
DAI-USD,Weekly,5,5,100.0,0.24733760058879883,5.000000000000006
DAI-USD,Monthly,0,0,0.0,0.0,0.0
DAI-USD,Quarterly,0,0,0.0,0.0,0.0
MANA-USD,Weekly,94,88,93.61702127659575,2.3842900625616332,4.704870324010294
MANA-USD,Monthly,0,0,0.0,0.0,0.0
MANA-USD,Quarterly,0,0,0.0,0.0,0.0
MNT-USD,Weekly,20,18,90.0,0.07543159965425733,4.2753825107742225
MNT-USD,Monthly,0,0,0.0,0.0,0.0
MNT-USD,Quarterly,3,3,100.0,0.08200130201876166,33.1143122299089
SUI-USD,Weekly,10,9,90.0,9.431000009499264e-05,3.743945995664979
SUI-USD,Monthly,3,2,66.66666666666666,2.510000049369413e-05,3.1296757778951085
SUI-USD,Quarterly,0,0,0.0,0.0,0.0
LEO-USD,Weekly,110,54,49.09090909090909,4.684234058856968,1.107533083503802
LEO-USD,Monthly,29,24,82.75862068965517,4.099362973570827,3.606081468158958
LEO-USD,Quarterly,11,10,90.9090909090909,2.103937885761262,4.194231906044661
